Posición,Precio,Volumen,Hora
YPFD042021,599.0,2,16:52:47
GGAL062021,125.3,3,16:52:29
RFX20042021,65340.0,4,16:52:21
RFX20042021,65395.0,2,16:52:01
RFX20042021,65395.0,1,16:52:01
RFX20042021,65395.0,1,16:52:01
RFX20042021,65390.0,1,16:51:53
RFX20042021,65300.0,10,16:51:48
GGAL042021,119.2,20,16:51:46
RFX20042021,65280.0,10,16:51:45
YPFD042021,598.2,1,16:51:43
RFX20042021,65280.0,7,16:51:41
RFX20042021,65275.0,2,16:51:38
GGAL062021,125.0,7,16:51:37
RFX20042021,65235.0,2,16:51:30
YPFD042021,597.0,5,16:51:21
RFX20042021,65230.0,2,16:51:17
RFX20042021,65275.0,3,16:50:25
WTI052021,63.59,4,16:50:21
WTI052021,63.58,5,16:50:12
WTI052021,63.57,1,16:50:05
YPFD062021,637.2,1,16:49:50
RFX20042021,65250.0,1,16:48:40
RFX20042021,65280.0,3,16:47:56
RFX20042021,65250.0,1,16:47:52
YPFD042021,598.0,1,16:47:51
YPFD042021,598.0,1,16:47:51
WTI052021,63.55,5,16:47:21
WTI052021,63.55,5,16:47:14
PAMP062021,89.4,5,16:46:27
PAMP042021,84.0,11,16:46:12
RFX20042021,65150.0,2,16:45:49
PAMP042021,83.9,5,16:44:37
RFX20042021,65150.0,1,16:43:56
RFX20042021,65150.0,3,16:43:50
RFX20042021,65140.0,1,16:43:48
RFX20042021,65150.0,7,16:43:47
RFX20042021,65130.0,3,16:43:22
RFX20042021,65165.0,1,16:43:19
RFX20042021,65165.0,1,16:43:19
RFX20042021,65165.0,1,16:43:19
RFX20042021,65165.0,1,16:43:19
RFX20042021,65165.0,1,16:43:19
WTI052021,63.55,5,16:43:17
RFX20042021,65170.0,5,16:43:16
RFX20042021,65170.0,1,16:43:16
RFX20042021,65170.0,1,16:43:16
RFX20042021,65170.0,1,16:42:58
PAMP062021,89.65,5,16:42:57
RFX20042021,65200.0,1,16:42:40
RFX20042021,65200.0,1,16:41:10
RFX20042021,65200.0,1,16:41:10
RFX20042021,65200.0,1,16:41:10
RFX20042021,65200.0,1,16:41:10
RFX20042021,65200.0,1,16:41:10
RFX20042021,65200.0,4,16:41:10
GGAL042021,118.95,1,16:40:32
GGAL062021,124.6,1,16:40:32
RFX20042021,65205.0,5,16:39:53
RFX20042021,65205.0,6,16:39:53
RFX20042021,65240.0,5,16:39:52
RFX20042021,65205.0,1,16:39:13
RFX20042021,65240.0,1,16:38:59
GGAL062021,124.6,4,16:38:13
RFX20042021,65215.0,2,16:38:09
GGAL042021,119.25,2,16:37:33
GGAL042021,119.25,1,16:37:33
RFX20042021,65210.0,1,16:37:32
GGAL042021,119.0,3,16:37:12
GGAL042021,119.0,2,16:36:59
RFX20042021,65215.0,2,16:36:49
GGAL042021,119.0,2,16:36:41
GGAL042021,119.0,2,16:36:41
RFX20042021,65215.0,3,16:36:38
RFX20042021,65215.0,3,16:36:36
RFX20042021,65215.0,1,16:36:13
RFX20042021,65215.0,2,16:36:11
RFX20042021,65215.0,3,16:35:37
RFX20042021,65215.0,4,16:34:59
RFX20042021,65215.0,3,16:34:59
RFX20042021,65215.0,1,16:34:59
RFX20042021,65215.0,7,16:34:59
WTI052021,63.5,10,16:34:48
GGAL042021,119.1,1,16:34:29
PAMP042021,83.65,5,16:34:19
GGAL042021,119.1,1,16:34:00
GGAL042021,119.25,2,16:31:55
GGAL042021,119.25,2,16:31:46
GGAL042021,119.25,2,16:31:34
GGAL042021,119.25,2,16:31:24
GGAL042021,119.25,2,16:31:22
GGAL042021,119.25,2,16:29:58
GGAL042021,119.25,2,16:29:45
GGAL042021,119.25,2,16:29:28
GGAL042021,119.25,2,16:29:26
RFX20042021,65235.0,1,16:29:22
GGAL042021,119.2,2,16:29:16
RFX20042021,65240.0,1,16:29:02
RFX20042021,65235.0,2,16:29:02
GGAL042021,119.2,2,16:29:01
RFX20042021,65240.0,2,16:29:00
GGAL042021,119.25,2,16:28:52
RFX20042021,65240.0,4,16:28:48
GGAL042021,119.25,2,16:28:43
YPFD042021,594.5,3,16:28:17
GGAL042021,119.25,2,16:28:04
WTI052021,63.4,1,16:27:56
YPFD042021,594.75,3,16:27:52
YPFD042021,594.75,3,16:27:52
GGAL042021,119.2,2,16:27:43
GGAL042021,119.25,2,16:27:38
YPFD042021,595.0,1,16:27:34
GGAL062021,125.0,5,16:26:15
RFX20042021,65265.0,5,16:26:11
RFX20042021,65290.0,6,16:25:59
RFX20042021,65290.0,4,16:25:59
RFX20042021,65290.0,1,16:25:19
RFX20042021,65305.0,5,16:23:57
RFX20042021,65310.0,7,16:23:54
RFX20042021,65310.0,2,16:23:54
RFX20042021,65310.0,1,16:23:42
RFX20042021,65310.0,5,16:23:16
RFX20042021,65310.0,7,16:23:06
RFX20042021,65300.0,5,16:23:01
RFX20042021,65310.0,2,16:22:56
RFX20042021,65315.0,1,16:22:45
RFX20042021,65310.0,6,16:22:27
RFX20042021,65310.0,4,16:22:23
RFX20042021,65310.0,1,16:22:12
GGAL042021,119.0,2,16:22:00
GGAL042021,119.0,2,16:22:00
WTI052021,63.45,2,16:21:35
RFX20042021,65285.0,1,16:20:38
RFX20042021,65285.0,1,16:20:36
RFX20042021,65285.0,3,16:20:34
RFX20042021,65285.0,6,16:20:32
RFX20042021,65285.0,5,16:20:20
RFX20042021,65290.0,2,16:20:05
GGAL062021,125.0,7,16:20:05
RFX20042021,65290.0,3,16:19:56
PAMP042021,83.7,2,16:19:28
RFX20042021,65290.0,1,16:19:07
RFX20042021,65290.0,3,16:19:07
RFX20042021,65290.0,2,16:19:07
WTI052021,63.6,1,16:18:35
RFX20042021,65290.0,5,16:18:31
RFX20042021,65290.0,1,16:18:29
RFX20042021,65290.0,2,16:18:29
RFX20042021,65290.0,3,16:18:17
RFX20042021,65280.0,6,16:18:10
RFX20042021,65285.0,3,16:18:10
RFX20042021,65290.0,21,16:18:10
WTI052021,63.38,10,16:17:22
RFX20042021,65275.0,3,16:17:08
RFX20042021,65275.0,5,16:16:24
RFX20042021,65250.0,1,16:16:01
RFX20042021,65245.0,4,16:15:58
RFX20042021,65250.0,5,16:15:58
RFX20042021,65245.0,1,16:15:55
RFX20042021,65245.0,5,16:15:50
RFX20042021,65250.0,5,16:15:50
YPFD042021,595.0,1,16:15:26
GGAL042021,119.35,1,16:15:22
GGAL042021,119.0,4,16:15:15
RFX20042021,65205.0,1,16:15:13
RFX20042021,65205.0,4,16:15:13
RFX20042021,65210.0,1,16:15:10
RFX20042021,65210.0,2,16:15:09
RFX20042021,65210.0,4,16:15:03
RFX20042021,65210.0,5,16:14:55
RFX20042021,65205.0,10,16:14:48
GGAL062021,125.2,10,16:14:45
