Posición,Precio,Volumen,Hora
RFX20122020,73400.0,1,16:59:59
RFX20122020,73400.0,1,16:59:58
RFX20122020,73400.0,3,16:59:58
RFX20122020,73400.0,4,16:59:54
RFX20122020,73420.0,3,16:59:51
RFX20122020,73420.0,1,16:59:50
GGAL122020,132.25,15,16:59:50
RFX20122020,73420.0,5,16:59:46
RFX20122020,73395.0,3,16:59:46
RFX20122020,73295.0,6,16:59:46
GGAL122020,132.1,2,16:59:43
GGAL122020,132.2,1,16:59:43
GGAL122020,132.1,5,16:59:42
RFX20122020,73395.0,1,16:59:39
RFX20122020,73390.0,1,16:59:36
RFX20122020,73390.0,1,16:59:34
YPFD122020,740.0,2,16:59:33
GGAL122020,132.1,5,16:59:26
RFX20122020,73395.0,1,16:59:24
YPFD122020,740.0,2,16:59:18
RFX20122020,73420.0,1,16:59:16
RFX20122020,73415.0,1,16:59:16
RFX20122020,73270.0,3,16:59:16
RFX20122020,73450.0,1,16:59:15
RFX20122020,73425.0,1,16:59:15
RFX20122020,73425.0,2,16:59:15
RFX20122020,73425.0,1,16:59:15
RFX20122020,73425.0,3,16:59:15
GGAL122020,132.1,4,16:59:11
GGAL122020,132.1,2,16:59:11
WTI032021,41.75,1,16:59:01
GGAL122020,132.15,30,16:58:58
GGAL122020,132.1,6,16:58:58
RFX20122020,73425.0,4,16:58:55
RFX20122020,73500.0,4,16:58:45
RFX20122020,73490.0,2,16:58:45
RFX20122020,73520.0,2,16:58:43
GGAL122020,132.1,1,16:58:43
RFX20122020,73520.0,1,16:58:41
RFX20122020,73520.0,1,16:58:35
RFX20122020,73520.0,1,16:58:30
RFX20122020,73520.0,8,16:58:22
RFX20122020,73525.0,1,16:58:18
RFX20122020,73525.0,3,16:58:18
GGAL122020,132.1,5,16:58:16
GGAL122020,132.0,5,16:58:16
YPFD122020,740.0,2,16:58:08
RFX20122020,73550.0,2,16:58:07
RFX20122020,73550.0,1,16:58:07
GGAL122020,132.1,3,16:57:48
GGAL122020,132.1,1,16:57:47
RFX20122020,73600.0,5,16:57:29
RFX20122020,73600.0,1,16:57:24
RFX20122020,73600.0,3,16:57:22
GGAL122020,131.9,2,16:57:12
RFX20122020,73600.0,6,16:57:10
RFX20122020,73600.0,5,16:57:08
RFX20122020,73620.0,2,16:57:02
RFX20122020,73605.0,1,16:57:02
RFX20122020,73605.0,2,16:57:02
RFX20122020,73600.0,5,16:57:02
RFX20122020,73625.0,1,16:56:57
GGAL122020,132.0,5,16:56:49
RFX20122020,73630.0,1,16:56:41
RFX20122020,73625.0,3,16:56:41
RFX20122020,73625.0,1,16:56:41
RFX20122020,73630.0,2,16:56:40
RFX20122020,73625.0,1,16:56:40
GGAL122020,131.95,5,16:56:40
GGAL122020,132.0,8,16:56:40
RFX20122020,73645.0,1,16:56:35
RFX20122020,73625.0,1,16:56:22
RFX20122020,73625.0,1,16:56:20
RFX20122020,73650.0,1,16:56:13
GGAL122020,132.05,10,16:56:04
RFX20122020,73675.0,5,16:56:01
GGAL122020,132.1,2,16:56:00
PAMP122020,84.0,4,16:56:00
GGAL122020,132.05,1,16:55:46
RFX20122020,73650.0,1,16:55:29
RFX20122020,73690.0,1,16:55:14
RFX20122020,73690.0,4,16:55:13
RFX20122020,73690.0,3,16:55:11
RFX20122020,73690.0,1,16:55:11
RFX20122020,73690.0,1,16:55:11
RFX20122020,73660.0,1,16:54:56
RFX20122020,73660.0,5,16:54:44
RFX20122020,73650.0,4,16:54:42
RFX20122020,73650.0,1,16:54:42
RFX20122020,73655.0,1,16:54:42
RFX20122020,73650.0,4,16:54:37
GGAL122020,131.75,1,16:54:32
RFX20122020,73635.0,1,16:54:27
RFX20122020,73640.0,1,16:54:27
RFX20122020,73645.0,1,16:54:27
RFX20122020,73645.0,1,16:54:27
RFX20122020,73650.0,6,16:54:27
GGAL122020,131.8,6,16:54:25
GGAL122020,131.8,1,16:54:25
GGAL122020,131.8,3,16:54:25
RFX20122020,73640.0,1,16:54:14
RFX20122020,73625.0,3,16:54:06
RFX20122020,73625.0,1,16:54:06
GGAL122020,131.8,4,16:54:06
RFX20122020,73625.0,2,16:53:55
GGAL122020,131.8,5,16:53:38
GGAL122020,132.0,1,16:53:36
GGAL122020,132.0,2,16:53:36
GGAL122020,132.05,31,16:53:30
GGAL122020,132.1,4,16:53:24
GGAL122020,132.15,2,16:53:16
RFX20122020,73600.0,1,16:53:10
RFX20122020,73600.0,1,16:53:10
RFX20122020,73600.0,4,16:53:07
YPFD122020,746.95,1,16:52:59
GGAL122020,132.25,10,16:52:55
RFX20122020,73600.0,1,16:52:54
RFX20122020,73645.0,1,16:52:53
RFX20122020,73645.0,1,16:52:53
RFX20122020,73645.0,1,16:52:53
GGAL122020,132.35,11,16:52:50
GGAL122020,132.35,2,16:52:45
GGAL122020,132.35,2,16:52:45
RFX20122020,73590.0,1,16:52:44
YPFD122020,752.0,1,16:52:40
RFX20122020,73600.0,1,16:52:34
RFX20122020,73600.0,1,16:52:34
GGAL122020,132.3,3,16:52:32
GGAL122020,132.35,1,16:52:31
RFX20122020,73600.0,1,16:52:30
RFX20122020,73600.0,3,16:52:29
RFX20122020,73600.0,3,16:52:26
RFX20122020,73600.0,3,16:52:25
PAMP122020,84.0,1,16:52:18
PAMP122020,84.2,1,16:52:18
WTI032021,41.75,10,16:52:17
GGAL122020,132.35,4,16:52:12
RFX20122020,73600.0,1,16:52:03
RFX20122020,73600.0,2,16:51:33
RFX20122020,73570.0,3,16:50:53
RFX20122020,73570.0,2,16:50:51
RFX20122020,73600.0,4,16:50:45
RFX20122020,73600.0,1,16:50:45
RFX20122020,73595.0,4,16:50:29
RFX20122020,73600.0,1,16:50:29
RFX20122020,73600.0,4,16:50:29
RFX20122020,73600.0,1,16:50:29
RFX20122020,73595.0,3,16:50:19
WTI032021,41.75,50,16:50:16
RFX20122020,73590.0,5,16:50:03
RFX20122020,73580.0,1,16:49:50
RFX20122020,73595.0,5,16:49:33
GGAL122020,132.4,2,16:49:29
RFX20122020,73555.0,1,16:48:22
RFX20122020,73570.0,4,16:48:10
RFX20122020,73565.0,6,16:48:10
RFX20122020,73570.0,1,16:48:04
GGAL122020,132.4,1,16:48:02
YPFD122020,754.05,1,16:47:59
RFX20122020,73610.0,1,16:47:41
RFX20122020,73605.0,3,16:47:41
RFX20122020,73615.0,4,16:47:31
RFX20122020,73615.0,6,16:47:20
WTI032021,41.75,50,16:46:54
GGAL122020,132.45,1,16:46:45
GGAL122020,132.4,9,16:46:45
RFX20122020,73625.0,1,16:45:52
GGAL122020,132.45,1,16:45:46
GGAL122020,132.65,1,16:45:42
GGAL122020,132.65,1,16:45:42
RFX20122020,73625.0,4,16:45:37
RFX20122020,73605.0,1,16:45:07
RFX20122020,73605.0,1,16:43:58
GGAL122020,132.65,2,16:43:46
GGAL122020,132.65,2,16:43:39
RFX20122020,73600.0,1,16:43:21
PAMP122020,84.4,3,16:43:17
GGAL122020,132.6,1,16:43:14
GGAL122020,132.6,1,16:43:14
RFX20122020,73635.0,2,16:42:33
GGAL122020,132.3,5,16:42:03
GGAL122020,132.3,3,16:42:03
GGAL122020,132.45,4,16:41:57
GGAL122020,132.25,1,16:41:13
GGAL122020,132.25,4,16:41:10
GGAL122020,132.3,4,16:41:04
RFX20122020,73600.0,5,16:40:55
RFX20122020,73650.0,3,16:40:52
RFX20122020,73645.0,1,16:40:51
RFX20122020,73600.0,2,16:40:26
RFX20122020,73600.0,4,16:40:22
RFX20122020,73600.0,1,16:40:20
GGAL122020,132.25,5,16:40:12
GGAL122020,132.3,5,16:40:09
RFX20122020,73545.0,2,16:40:03
RFX20122020,73605.0,4,16:40:02
RFX20122020,73605.0,1,16:40:02
GGAL122020,132.3,3,16:40:00
GGAL122020,132.3,12,16:39:59
RFX20122020,73610.0,3,16:39:58
RFX20122020,73620.0,1,16:39:51
RFX20122020,73635.0,4,16:39:49
RFX20122020,73635.0,1,16:39:48
PAMP122020,84.7,5,16:39:44
RFX20122020,73620.0,3,16:39:43
GGAL122020,132.45,4,16:39:32
GGAL122020,132.45,3,16:39:26
GGAL122020,132.45,17,16:39:26
GGAL122020,132.5,10,16:39:26
RFX20122020,73650.0,3,16:38:53
RFX20122020,73645.0,5,16:38:23
RFX20122020,73670.0,2,16:38:20
RFX20122020,73665.0,2,16:38:20
RFX20122020,73675.0,2,16:38:18
