indice_tiempo,medio_de_transporte,pais_origen,turistas_no_residentes
2016-05,Terrestre,EE.UU. y Canadá,1776.4
2016-05,Terrestre,Chile,39400.8
2016-05,Terrestre,Brasil,24053.2
2016-05,Terrestre,Bolivia,27969.2
2016-05,Fluvial/Marítima,Europa,3951.9
2016-05,Fluvial/Marítima,Resto del mundo,1121
2016-05,Fluvial/Marítima,Resto de América,3215
2016-05,Fluvial/Marítima,Uruguay,27052
2016-05,Fluvial/Marítima,Paraguay,5987
2016-05,Fluvial/Marítima,EE.UU. y Canadá,1772
2016-05,Fluvial/Marítima,Chile,724.1
2016-05,Fluvial/Marítima,Brasil,8308
2016-05,Fluvial/Marítima,Bolivia,9861
2016-06,Aérea,Europa,26362.2
2016-06,Aérea,Resto del mundo,10530.8
2016-06,Aérea,Resto de América,25026.5
2016-06,Aérea,Uruguay,5439.4
2016-06,Aérea,Paraguay,4485.6
2016-06,Aérea,EE.UU. y Canadá,19264
2016-06,Aérea,Chile,19467
2016-06,Aérea,Brasil,49361
2016-06,Aérea,Bolivia,4373.6
2016-06,Terrestre,Europa,7391
2016-06,Terrestre,Resto del mundo,2882
2016-06,Terrestre,Resto de América,7789.7
2016-06,Terrestre,Uruguay,17575.9
2016-06,Terrestre,Paraguay,41117.9
2016-06,Terrestre,EE.UU. y Canadá,2154.5
2016-06,Terrestre,Chile,31640.6
2016-06,Terrestre,Brasil,18739.5
2016-06,Terrestre,Bolivia,25377.7
2016-06,Fluvial/Marítima,Europa,2788.9
2016-06,Fluvial/Marítima,Resto del mundo,929
2016-06,Fluvial/Marítima,Resto de América,3249
2016-06,Fluvial/Marítima,Uruguay,22942
2016-06,Fluvial/Marítima,Paraguay,5425
2016-06,Fluvial/Marítima,EE.UU. y Canadá,1918
2016-06,Fluvial/Marítima,Chile,556.2
2016-06,Fluvial/Marítima,Brasil,8014
2016-06,Fluvial/Marítima,Bolivia,9216
2016-07,Aérea,Europa,28780
2016-07,Aérea,Resto del mundo,11557
2016-07,Aérea,Resto de América,28484.2
2016-07,Aérea,Uruguay,5514.3
2016-07,Aérea,Paraguay,6576.3
2016-07,Aérea,EE.UU. y Canadá,20868
2016-07,Aérea,Chile,21287
2016-07,Aérea,Brasil,70345
2016-07,Aérea,Bolivia,6402.3
2016-07,Terrestre,Europa,11336.3
2016-07,Terrestre,Resto del mundo,3336.5
2016-07,Terrestre,Resto de América,10767.7
2016-07,Terrestre,Uruguay,34425.6
2016-07,Terrestre,Paraguay,70832
2016-07,Terrestre,EE.UU. y Canadá,2813.3
2016-07,Terrestre,Chile,54595.3
2016-07,Terrestre,Brasil,31457
2016-07,Terrestre,Bolivia,41798.3
2016-07,Fluvial/Marítima,Europa,3692.9
2016-07,Fluvial/Marítima,Resto del mundo,1054
2016-07,Fluvial/Marítima,Resto de América,4032
2016-07,Fluvial/Marítima,Uruguay,37192
2016-07,Fluvial/Marítima,Paraguay,7109
2016-07,Fluvial/Marítima,EE.UU. y Canadá,1948
2016-07,Fluvial/Marítima,Chile,942
2016-07,Fluvial/Marítima,Brasil,13950
2016-07,Fluvial/Marítima,Bolivia,11524
2016-08,Aérea,Europa,36190
2016-08,Aérea,Resto del mundo,13068
2016-08,Aérea,Resto de América,30544.4
2016-08,Aérea,Uruguay,5035.4
2016-08,Aérea,Paraguay,4929.4
2016-08,Aérea,EE.UU. y Canadá,21407
2016-08,Aérea,Chile,20094
2016-08,Aérea,Brasil,64338
2016-08,Aérea,Bolivia,5063.8
2016-08,Terrestre,Europa,13832.6
2016-08,Terrestre,Resto del mundo,3587.1
2016-08,Terrestre,Resto de América,10343.6
2016-08,Terrestre,Uruguay,23443.6
2016-08,Terrestre,Paraguay,54612.7
2016-08,Terrestre,EE.UU. y Canadá,2621.1
2016-08,Terrestre,Chile,39880
2016-08,Terrestre,Brasil,23036.7
2016-08,Terrestre,Bolivia,28782.4
2016-08,Fluvial/Marítima,Europa,4542.8
2016-08,Fluvial/Marítima,Resto del mundo,955
2016-08,Fluvial/Marítima,Resto de América,3759
